date,base_temperature,base_precip_mm,base_wind_kmh,base_gust_kmh,base_new_snow_cm,base_cloud_pct,top_temperature,top_precip_mm,top_wind_kmh,top_gust_kmh,top_new_snow_cm,top_cloud_pct,avg_temp_c,wind_max_kmh,new_snow_cm,sky_clear_ratio,hist_snow_factor,hist_temp_factor,hist_wind_factor,hist_sun_factor,hist_ski_score,hist_ski_label,hist_penalty_snow,hist_penalty_temp,hist_penalty_wind,hist_penalty_sun,hist_main_penalty_reason
2021-12-01,-2.1791666666666667,0.0,9.7,43.6,0.0,12.0,-4.5625,0.0,12.6,76.0,0.0,11.416666666666666,-3.3708333333333336,12.6,0.0,0.8829166666666667,0.0,0.8370833333333334,0.748,0.8327380952380954,40.0,Meh,0.5,0.041,0.038,0.017,No recent snowfall
2021-12-02,-3.8874999999999997,11.2,22.2,76.0,7.7,99.625,-8.775,11.0,18.2,100.8,7.63,100.0,-6.33125,22.2,7.665,0.00187499999999996,0.7665,1.0,0.556,0.0,72.0,Epic,0.117,0.0,0.067,0.1,Low snowfall + low visibility
2021-12-03,-4.2875000000000005,0.0,11.4,38.2,0.0,8.375,-7.166666666666667,0.0,15.5,76.0,0.0,8.333333333333334,-5.727083333333334,15.5,0.0,0.9164583333333334,0.0,1.0,0.69,0.880654761904762,44.0,Meh,0.5,0.0,0.047,0.012,No recent snowfall
2021-12-04,0.8916666666666666,0.0,10.2,30.2,0.0,19.125,-2.35,0.0,14.3,64.4,0.0,17.0,-0.7291666666666667,14.3,0.0,0.819375,0.0,0.5729166666666667,0.714,0.7419642857142856,32.0,Meh,0.5,0.107,0.043,0.026,No recent snowfall
2021-12-05,-3.2416666666666667,0.0,15.2,53.3,0.0,20.958333333333332,-6.258333333333333,0.0,19.4,100.4,0.0,19.0,-4.75,19.4,0.0,0.8002083333333334,0.0,0.975,0.6120000000000001,0.7145833333333335,41.0,Meh,0.5,0.006,0.058,0.029,No recent snowfall
2021-12-06,1.0,0.0,8.3,37.8,0.0,5.166666666666667,-3.7375000000000003,0.0,13.8,86.4,0.0,5.583333333333333,-1.3687500000000001,13.8,0.0,0.94625,0.0,0.6368750000000001,0.724,0.9232142857142858,36.0,Meh,0.5,0.091,0.041,0.008,No recent snowfall
2021-12-07,3.533333333333333,0.0,14.3,57.2,0.0,6.291666666666667,-0.12916666666666662,0.0,11.9,75.2,0.0,3.375,1.7020833333333334,14.3,0.0,0.9516666666666667,0.0,0.3297916666666667,0.714,0.930952380952381,28.0,Bad,0.5,0.168,0.043,0.007,No recent snowfall + mild temperatures
2021-12-08,-1.1333333333333333,6.1000000000000005,27.8,90.0,0.9800000000000001,91.5,-6.4875,5.1000000000000005,23.1,118.1,3.22,87.95833333333333,-3.810416666666667,27.8,2.1,0.1027083333333334,0.21000000000000002,0.8810416666666667,0.44399999999999995,0.0,39.0,Meh,0.395,0.03,0.083,0.1,Low snowfall + low visibility
2021-12-09,-1.2583333333333333,0.1,16.3,61.2,0.07,77.20833333333333,-6.0125,0.1,19.2,103.3,0.07,79.25,-3.635416666666667,19.2,0.07,0.2177083333333334,0.007000000000000001,0.8635416666666667,0.616,0.0,31.0,Meh,0.496,0.034,0.058,0.1,No recent snowfall
2021-12-10,0.9249999999999999,0.0,13.9,45.7,0.0,77.08333333333333,-1.7166666666666668,0.0,14.7,83.5,0.0,81.83333333333333,-0.3958333333333334,14.7,0.0,0.2054166666666667,0.0,0.5395833333333333,0.706,0.0,24.0,Bad,0.5,0.115,0.044,0.1,No recent snowfall
